id,name,text,emotion,sentiment,toxicity_score,abusive_words,length,platform,timestamp,cyberbullying
1,anita,Shut up you fool,anger,negative,0.92,1,16,Twitter,2026-03-25 10:55:29.608386,1
2,anita,Keep going,neutral,positive,0.13,0,10,Twitter,2026-03-25 10:56:29.608386,0
3,john,Great work!,neutral,positive,0.09,0,11,Instagram,2026-03-25 10:57:29.608386,0
4,john,Good effort,neutral,neutral,0.13,0,11,Twitter,2026-03-25 10:58:29.608386,0
5,arjun,Keep going,neutral,positive,0.16,0,10,Twitter,2026-03-25 10:59:29.608386,0
6,meena,Have a nice day,neutral,neutral,0.25,0,15,Twitter,2026-03-25 11:00:29.608386,0
7,meena,Nobody likes you,anger,negative,0.75,2,16,YouTube,2026-03-25 11:01:29.608386,1
8,priya,You are useless,anger,negative,0.94,1,15,Twitter,2026-03-25 11:02:29.608386,1
9,priya,Have a nice day,neutral,neutral,0.05,0,15,Instagram,2026-03-25 11:03:29.608386,0
10,john,Great work!,neutral,positive,0.18,0,11,Twitter,2026-03-25 11:04:29.608386,0
11,anita,Nobody likes you,anger,negative,0.81,1,16,YouTube,2026-03-25 11:05:29.608386,1
12,anita,Great work!,neutral,positive,0.26,0,11,YouTube,2026-03-25 11:06:29.608386,0
13,meena,You are a loser,anger,negative,0.75,1,15,YouTube,2026-03-25 11:07:29.608386,1
14,sara,Nobody likes you,anger,negative,0.79,3,16,Twitter,2026-03-25 11:08:29.608386,1
15,anita,Have a nice day,joy,neutral,0.14,0,15,YouTube,2026-03-25 11:09:29.608386,0
16,rahul,That's amazing,neutral,positive,0.23,0,14,Instagram,2026-03-25 11:10:29.608386,0
17,vikram,Good effort,neutral,neutral,0.11,0,11,YouTube,2026-03-25 11:11:29.608386,0
18,rahul,You are a loser,anger,negative,0.8,3,15,Instagram,2026-03-25 11:12:29.608386,1
19,meena,You are a loser,anger,negative,0.73,1,15,YouTube,2026-03-25 11:13:29.608386,1
20,anita,Keep going,neutral,positive,0.21,0,10,YouTube,2026-03-25 11:14:29.608386,0
21,rahul,Go away idiot,anger,negative,0.78,1,13,YouTube,2026-03-25 11:15:29.608386,1
22,vikram,You are so stupid,anger,negative,0.85,2,17,YouTube,2026-03-25 11:16:29.608386,1
23,priya,Keep going,neutral,neutral,0.25,0,10,YouTube,2026-03-25 11:17:29.608386,0
24,anita,Have a nice day,neutral,neutral,0.24,0,15,Instagram,2026-03-25 11:18:29.608386,0
25,meena,Go away idiot,anger,negative,0.97,2,13,YouTube,2026-03-25 11:19:29.608386,1
26,sara,Great work!,neutral,positive,0.02,0,11,Instagram,2026-03-25 11:20:29.608386,0
27,rahul,Good effort,neutral,positive,0.06,0,11,YouTube,2026-03-25 11:21:29.608386,0
28,priya,Go away idiot,anger,negative,0.87,1,13,Twitter,2026-03-25 11:22:29.608386,1
29,rahul,Keep going,joy,positive,0.16,0,10,YouTube,2026-03-25 11:23:29.608386,0
30,vikram,You are a loser,anger,negative,0.73,3,15,Twitter,2026-03-25 11:24:29.608386,1
31,arjun,Great work!,neutral,positive,0.27,0,11,Twitter,2026-03-25 11:25:29.608386,0
32,vikram,Have a nice day,joy,neutral,0.03,0,15,Twitter,2026-03-25 11:26:29.608386,0
33,meena,Have a nice day,neutral,positive,0.02,0,15,YouTube,2026-03-25 11:27:29.608386,0
34,anita,You are so stupid,anger,negative,0.87,3,17,Instagram,2026-03-25 11:28:29.608386,1
35,sara,Have a nice day,joy,positive,0.29,0,15,YouTube,2026-03-25 11:29:29.608386,0
36,sara,Go away idiot,anger,negative,0.95,2,13,Instagram,2026-03-25 11:30:29.608386,1
37,rahul,You are so stupid,anger,negative,0.88,2,17,Twitter,2026-03-25 11:31:29.608386,1
38,meena,That's amazing,neutral,neutral,0.11,0,14,Instagram,2026-03-25 11:32:29.608386,0
39,arjun,That's amazing,neutral,positive,0.14,0,14,Instagram,2026-03-25 11:33:29.608386,0
40,vikram,You are so stupid,anger,negative,0.7,2,17,Instagram,2026-03-25 11:34:29.608386,1
41,sara,Go away idiot,anger,negative,0.84,1,13,YouTube,2026-03-25 11:35:29.608386,1
42,arjun,Go away idiot,anger,negative,0.75,1,13,Twitter,2026-03-25 11:36:29.608386,1
43,meena,Have a nice day,neutral,neutral,0.05,0,15,Twitter,2026-03-25 11:37:29.608386,0
44,priya,Go away idiot,anger,negative,0.8,1,13,YouTube,2026-03-25 11:38:29.608386,1
45,anita,Shut up you fool,anger,negative,0.75,1,16,Twitter,2026-03-25 11:39:29.608386,1
46,vikram,Keep going,joy,positive,0.0,0,10,Twitter,2026-03-25 11:40:29.608386,0
47,priya,Have a nice day,joy,neutral,0.06,0,15,Twitter,2026-03-25 11:41:29.608386,0
48,priya,Keep going,neutral,positive,0.14,0,10,YouTube,2026-03-25 11:42:29.608386,0
49,meena,Nobody likes you,anger,negative,0.98,2,16,Instagram,2026-03-25 11:43:29.608386,1
50,sara,Go away idiot,anger,negative,0.89,1,13,Instagram,2026-03-25 11:44:29.608386,1
51,meena,Shut up you fool,anger,negative,0.71,1,16,Twitter,2026-03-25 11:45:29.608386,1
52,sara,Go away idiot,anger,negative,0.76,3,13,YouTube,2026-03-25 11:46:29.608386,1
53,rahul,Go away idiot,anger,negative,0.79,3,13,Twitter,2026-03-25 11:47:29.608386,1
54,sara,Nobody likes you,anger,negative,0.73,2,16,Instagram,2026-03-25 11:48:29.608386,1
55,anita,Shut up you fool,anger,negative,0.96,2,16,Instagram,2026-03-25 11:49:29.608386,1
56,vikram,Have a nice day,neutral,positive,0.04,0,15,Twitter,2026-03-25 11:50:29.608386,0
57,priya,Shut up you fool,anger,negative,0.74,2,16,YouTube,2026-03-25 11:51:29.608386,1
58,arjun,Nobody likes you,anger,negative,0.86,3,16,Twitter,2026-03-25 11:52:29.608386,1
59,john,Good effort,neutral,positive,0.1,0,11,YouTube,2026-03-25 11:53:29.608386,0
60,vikram,You are so stupid,anger,negative,0.73,1,17,Instagram,2026-03-25 11:54:29.608386,1
61,sara,You are useless,anger,negative,0.82,1,15,Twitter,2026-03-25 11:55:29.608386,1
62,vikram,Have a nice day,joy,neutral,0.16,0,15,YouTube,2026-03-25 11:56:29.608386,0
63,vikram,You are a loser,anger,negative,0.99,2,15,YouTube,2026-03-25 11:57:29.608386,1
64,john,Have a nice day,joy,positive,0.21,0,15,Twitter,2026-03-25 11:58:29.608386,0
65,anita,You are useless,anger,negative,0.85,1,15,Twitter,2026-03-25 11:59:29.608386,1
66,arjun,You are so stupid,anger,negative,1.0,2,17,Instagram,2026-03-25 12:00:29.608386,1
67,anita,You are so stupid,anger,negative,0.97,2,17,YouTube,2026-03-25 12:01:29.608386,1
68,meena,Go away idiot,anger,negative,0.93,1,13,Twitter,2026-03-25 12:02:29.608386,1
69,priya,Go away idiot,anger,negative,0.94,3,13,YouTube,2026-03-25 12:03:29.608386,1
70,anita,Go away idiot,anger,negative,0.97,3,13,Twitter,2026-03-25 12:04:29.608386,1
71,vikram,Well done,joy,positive,0.24,0,9,YouTube,2026-03-25 12:05:29.608386,0
72,meena,You are a loser,anger,negative,0.98,3,15,Twitter,2026-03-25 12:06:29.608386,1
73,meena,Great work!,joy,positive,0.02,0,11,Twitter,2026-03-25 12:07:29.608386,0
74,anita,You are so stupid,anger,negative,0.98,2,17,Twitter,2026-03-25 12:08:29.608386,1
75,vikram,Well done,joy,neutral,0.11,0,9,YouTube,2026-03-25 12:09:29.608386,0
76,vikram,Well done,joy,neutral,0.29,0,9,Twitter,2026-03-25 12:10:29.608386,0
77,arjun,Go away idiot,anger,negative,0.99,1,13,Instagram,2026-03-25 12:11:29.608386,1
78,priya,Have a nice day,joy,neutral,0.28,0,15,YouTube,2026-03-25 12:12:29.608386,0
79,anita,Have a nice day,joy,positive,0.15,0,15,YouTube,2026-03-25 12:13:29.608386,0
80,priya,Great work!,neutral,neutral,0.09,0,11,Instagram,2026-03-25 12:14:29.608386,0
81,arjun,Great work!,joy,neutral,0.07,0,11,YouTube,2026-03-25 12:15:29.608386,0
82,anita,Good effort,joy,neutral,0.26,0,11,YouTube,2026-03-25 12:16:29.608386,0
83,sara,Shut up you fool,anger,negative,0.86,3,16,YouTube,2026-03-25 12:17:29.608386,1
84,arjun,You are useless,anger,negative,0.94,2,15,Instagram,2026-03-25 12:18:29.608386,1
85,meena,That's amazing,joy,positive,0.01,0,14,YouTube,2026-03-25 12:19:29.608386,0
86,priya,That's amazing,neutral,positive,0.04,0,14,Instagram,2026-03-25 12:20:29.608386,0
87,sara,You are useless,anger,negative,0.79,1,15,Twitter,2026-03-25 12:21:29.608386,1
88,meena,You are a loser,anger,negative,0.95,2,15,Twitter,2026-03-25 12:22:29.608386,1
89,sara,That's amazing,neutral,positive,0.12,0,14,Twitter,2026-03-25 12:23:29.608386,0
90,meena,Good effort,neutral,positive,0.12,0,11,Instagram,2026-03-25 12:24:29.608386,0
91,vikram,You are a loser,anger,negative,0.94,1,15,Twitter,2026-03-25 12:25:29.608386,1
92,john,Shut up you fool,anger,negative,0.75,1,16,Instagram,2026-03-25 12:26:29.608386,1
93,john,Good effort,neutral,neutral,0.26,0,11,Twitter,2026-03-25 12:27:29.608386,0
94,anita,Nobody likes you,anger,negative,0.79,3,16,Instagram,2026-03-25 12:28:29.608386,1
95,john,You are useless,anger,negative,0.73,1,15,Twitter,2026-03-25 12:29:29.608386,1
96,rahul,You are so stupid,anger,negative,0.94,3,17,YouTube,2026-03-25 12:30:29.608386,1
97,arjun,Have a nice day,joy,neutral,0.19,0,15,Instagram,2026-03-25 12:31:29.608386,0
98,rahul,You are a loser,anger,negative,0.76,1,15,YouTube,2026-03-25 12:32:29.608386,1
99,arjun,Good effort,neutral,neutral,0.15,0,11,Instagram,2026-03-25 12:33:29.608386,0
100,sara,Shut up you fool,anger,negative,0.93,2,16,YouTube,2026-03-25 12:34:29.608386,1
101,vikram,Keep going,neutral,neutral,0.02,0,10,Twitter,2026-03-25 12:35:29.608386,0
102,sara,Great work!,joy,neutral,0.03,0,11,YouTube,2026-03-25 12:36:29.608386,0
103,vikram,Keep going,neutral,positive,0.05,0,10,Twitter,2026-03-25 12:37:29.608386,0
104,vikram,Have a nice day,neutral,neutral,0.17,0,15,YouTube,2026-03-25 12:38:29.608386,0
105,sara,Good effort,neutral,positive,0.26,0,11,Twitter,2026-03-25 12:39:29.608386,0
106,john,Go away idiot,anger,negative,0.78,3,13,YouTube,2026-03-25 12:40:29.608386,1
107,arjun,That's amazing,joy,positive,0.28,0,14,Twitter,2026-03-25 12:41:29.608386,0
108,sara,Nobody likes you,anger,negative,0.83,1,16,Instagram,2026-03-25 12:42:29.608386,1
109,rahul,You are a loser,anger,negative,0.95,1,15,Twitter,2026-03-25 12:43:29.608386,1
110,rahul,You are useless,anger,negative,0.92,1,15,YouTube,2026-03-25 12:44:29.608386,1
111,sara,Have a nice day,joy,neutral,0.12,0,15,Twitter,2026-03-25 12:45:29.608386,0
112,priya,That's amazing,joy,neutral,0.02,0,14,Instagram,2026-03-25 12:46:29.608386,0
113,meena,Well done,joy,positive,0.28,0,9,Twitter,2026-03-25 12:47:29.608386,0
114,vikram,Shut up you fool,anger,negative,0.92,2,16,Instagram,2026-03-25 12:48:29.608386,1
115,rahul,That's amazing,neutral,neutral,0.15,0,14,Instagram,2026-03-25 12:49:29.608386,0
116,meena,Nobody likes you,anger,negative,0.84,3,16,Twitter,2026-03-25 12:50:29.608386,1
117,john,Well done,joy,neutral,0.29,0,9,YouTube,2026-03-25 12:51:29.608386,0
118,rahul,You are so stupid,anger,negative,0.86,2,17,Instagram,2026-03-25 12:52:29.608386,1
119,john,Shut up you fool,anger,negative,0.86,1,16,YouTube,2026-03-25 12:53:29.608386,1
120,rahul,Have a nice day,joy,neutral,0.04,0,15,Instagram,2026-03-25 12:54:29.608386,0
121,meena,That's amazing,neutral,positive,0.24,0,14,YouTube,2026-03-25 12:55:29.608386,0
122,sara,Go away idiot,anger,negative,0.96,2,13,Instagram,2026-03-25 12:56:29.608386,1
123,sara,Shut up you fool,anger,negative,0.96,2,16,Instagram,2026-03-25 12:57:29.608386,1
124,rahul,Shut up you fool,anger,negative,0.83,1,16,Twitter,2026-03-25 12:58:29.608386,1
125,john,Nobody likes you,anger,negative,0.95,3,16,Twitter,2026-03-25 12:59:29.608386,1
126,priya,Great work!,joy,positive,0.3,0,11,Twitter,2026-03-25 13:00:29.608386,0
127,anita,You are useless,anger,negative,0.94,2,15,YouTube,2026-03-25 13:01:29.608386,1
128,rahul,You are useless,anger,negative,0.99,1,15,Twitter,2026-03-25 13:02:29.608386,1
129,meena,Go away idiot,anger,negative,0.94,2,13,YouTube,2026-03-25 13:03:29.608386,1
130,priya,Good effort,joy,neutral,0.08,0,11,Twitter,2026-03-25 13:04:29.608386,0
131,arjun,Have a nice day,joy,positive,0.17,0,15,Twitter,2026-03-25 13:05:29.608386,0
132,rahul,Well done,neutral,positive,0.18,0,9,Instagram,2026-03-25 13:06:29.608386,0
133,priya,Nobody likes you,anger,negative,0.96,2,16,Twitter,2026-03-25 13:07:29.608386,1
134,rahul,You are useless,anger,negative,0.75,2,15,Instagram,2026-03-25 13:08:29.608386,1
135,arjun,Keep going,joy,neutral,0.16,0,10,YouTube,2026-03-25 13:09:29.608386,0
136,vikram,You are a loser,anger,negative,0.89,2,15,Instagram,2026-03-25 13:10:29.608386,1
137,sara,You are a loser,anger,negative,0.86,1,15,Twitter,2026-03-25 13:11:29.608386,1
138,arjun,Good effort,neutral,neutral,0.16,0,11,Instagram,2026-03-25 13:12:29.608386,0
139,meena,Have a nice day,neutral,positive,0.23,0,15,Twitter,2026-03-25 13:13:29.608386,0
140,priya,Have a nice day,joy,neutral,0.18,0,15,Instagram,2026-03-25 13:14:29.608386,0
141,rahul,You are so stupid,anger,negative,0.75,3,17,Instagram,2026-03-25 13:15:29.608386,1
142,arjun,Great work!,neutral,positive,0.18,0,11,Twitter,2026-03-25 13:16:29.608386,0
143,priya,Have a nice day,neutral,neutral,0.17,0,15,Twitter,2026-03-25 13:17:29.608386,0
144,vikram,Have a nice day,joy,neutral,0.2,0,15,Twitter,2026-03-25 13:18:29.608386,0
145,vikram,Good effort,joy,neutral,0.24,0,11,YouTube,2026-03-25 13:19:29.608386,0
146,priya,You are so stupid,anger,negative,0.88,3,17,Twitter,2026-03-25 13:20:29.608386,1
147,anita,You are useless,anger,negative,0.95,1,15,Twitter,2026-03-25 13:21:29.608386,1
148,anita,Shut up you fool,anger,negative,0.9,2,16,Twitter,2026-03-25 13:22:29.608386,1
149,anita,You are a loser,anger,negative,0.71,1,15,Twitter,2026-03-25 13:23:29.608386,1
150,arjun,Shut up you fool,anger,negative,0.82,2,16,Twitter,2026-03-25 13:24:29.608386,1
151,priya,Keep going,neutral,neutral,0.3,0,10,YouTube,2026-03-25 13:25:29.608386,0
152,priya,Shut up you fool,anger,negative,0.88,1,16,Twitter,2026-03-25 13:26:29.608386,1
153,priya,Go away idiot,anger,negative,0.87,1,13,Instagram,2026-03-25 13:27:29.608386,1
154,meena,Shut up you fool,anger,negative,0.8,3,16,Twitter,2026-03-25 13:28:29.608386,1
155,arjun,Keep going,joy,positive,0.09,0,10,Instagram,2026-03-25 13:29:29.608386,0
156,sara,Good effort,neutral,positive,0.03,0,11,Instagram,2026-03-25 13:30:29.608386,0
157,vikram,Shut up you fool,anger,negative,0.88,3,16,Twitter,2026-03-25 13:31:29.608386,1
158,arjun,Keep going,neutral,neutral,0.05,0,10,Twitter,2026-03-25 13:32:29.608386,0
159,meena,You are a loser,anger,negative,0.86,3,15,YouTube,2026-03-25 13:33:29.608386,1
160,anita,Go away idiot,anger,negative,0.82,2,13,Twitter,2026-03-25 13:34:29.608386,1
161,priya,You are so stupid,anger,negative,0.77,2,17,Twitter,2026-03-25 13:35:29.608386,1
162,priya,Keep going,joy,neutral,0.1,0,10,Twitter,2026-03-25 13:36:29.608386,0
163,priya,Have a nice day,neutral,neutral,0.05,0,15,YouTube,2026-03-25 13:37:29.608386,0
164,meena,Well done,neutral,neutral,0.06,0,9,YouTube,2026-03-25 13:38:29.608386,0
165,arjun,Keep going,joy,neutral,0.05,0,10,Instagram,2026-03-25 13:39:29.608386,0
166,priya,Go away idiot,anger,negative,0.71,3,13,YouTube,2026-03-25 13:40:29.608386,1
167,vikram,Shut up you fool,anger,negative,0.75,1,16,Twitter,2026-03-25 13:41:29.608386,1
168,arjun,Go away idiot,anger,negative,0.98,1,13,YouTube,2026-03-25 13:42:29.608386,1
169,priya,Shut up you fool,anger,negative,0.76,1,16,YouTube,2026-03-25 13:43:29.608386,1
170,john,Good effort,joy,positive,0.09,0,11,Twitter,2026-03-25 13:44:29.608386,0
171,john,Good effort,joy,neutral,0.13,0,11,Instagram,2026-03-25 13:45:29.608386,0
172,arjun,You are a loser,anger,negative,0.77,2,15,Twitter,2026-03-25 13:46:29.608386,1
173,john,Go away idiot,anger,negative,0.82,3,13,Twitter,2026-03-25 13:47:29.608386,1
174,arjun,Great work!,joy,neutral,0.19,0,11,Instagram,2026-03-25 13:48:29.608386,0
175,arjun,Keep going,neutral,neutral,0.28,0,10,YouTube,2026-03-25 13:49:29.608386,0
176,priya,That's amazing,neutral,neutral,0.14,0,14,Instagram,2026-03-25 13:50:29.608386,0
177,john,You are so stupid,anger,negative,0.82,2,17,Twitter,2026-03-25 13:51:29.608386,1
178,meena,You are a loser,anger,negative,0.99,1,15,YouTube,2026-03-25 13:52:29.608386,1
179,priya,That's amazing,neutral,positive,0.11,0,14,Twitter,2026-03-25 13:53:29.608386,0
180,anita,Shut up you fool,anger,negative,0.82,3,16,Twitter,2026-03-25 13:54:29.608386,1
181,meena,Great work!,joy,neutral,0.01,0,11,Twitter,2026-03-25 13:55:29.608386,0
182,sara,Go away idiot,anger,negative,0.74,2,13,Instagram,2026-03-25 13:56:29.608386,1
183,anita,You are useless,anger,negative,0.81,1,15,Twitter,2026-03-25 13:57:29.608386,1
184,vikram,Shut up you fool,anger,negative,0.98,2,16,Twitter,2026-03-25 13:58:29.608386,1
185,vikram,Shut up you fool,anger,negative,0.87,2,16,Instagram,2026-03-25 13:59:29.608386,1
186,rahul,Well done,neutral,neutral,0.2,0,9,Twitter,2026-03-25 14:00:29.608386,0
187,rahul,Good effort,neutral,neutral,0.23,0,11,Instagram,2026-03-25 14:01:29.608386,0
188,rahul,Well done,joy,neutral,0.04,0,9,Twitter,2026-03-25 14:02:29.608386,0
189,arjun,You are so stupid,anger,negative,0.9,1,17,Twitter,2026-03-25 14:03:29.608386,1
190,meena,Nobody likes you,anger,negative,0.85,2,16,Instagram,2026-03-25 14:04:29.608386,1
191,priya,Great work!,joy,neutral,0.19,0,11,Twitter,2026-03-25 14:05:29.608386,0
192,john,That's amazing,neutral,neutral,0.11,0,14,Twitter,2026-03-25 14:06:29.608386,0
193,anita,You are so stupid,anger,negative,0.73,1,17,Twitter,2026-03-25 14:07:29.608386,1
194,priya,That's amazing,joy,neutral,0.01,0,14,Instagram,2026-03-25 14:08:29.608386,0
195,vikram,Keep going,joy,neutral,0.26,0,10,Twitter,2026-03-25 14:09:29.608386,0
196,arjun,Shut up you fool,anger,negative,0.73,1,16,Instagram,2026-03-25 14:10:29.608386,1
197,john,You are a loser,anger,negative,0.99,1,15,YouTube,2026-03-25 14:11:29.608386,1
198,john,You are useless,anger,negative,0.91,1,15,Instagram,2026-03-25 14:12:29.608386,1
199,john,Go away idiot,anger,negative,0.89,1,13,Instagram,2026-03-25 14:13:29.608386,1
200,john,Have a nice day,joy,neutral,0.1,0,15,Instagram,2026-03-25 14:14:29.608386,0
201,anita,Good effort,neutral,positive,0.08,0,11,YouTube,2026-03-25 14:15:29.608386,0
202,sara,Go away idiot,anger,negative,0.92,2,13,YouTube,2026-03-25 14:16:29.608386,1
203,arjun,That's amazing,neutral,positive,0.29,0,14,YouTube,2026-03-25 14:17:29.608386,0
204,meena,Have a nice day,joy,neutral,0.05,0,15,Twitter,2026-03-25 14:18:29.608386,0
205,sara,Have a nice day,joy,positive,0.25,0,15,Twitter,2026-03-25 14:19:29.608386,0
206,priya,Nobody likes you,anger,negative,0.77,3,16,Instagram,2026-03-25 14:20:29.608386,1
207,sara,Well done,joy,neutral,0.27,0,9,YouTube,2026-03-25 14:21:29.608386,0
208,priya,Nobody likes you,anger,negative,0.7,3,16,Instagram,2026-03-25 14:22:29.608386,1
209,anita,You are a loser,anger,negative,0.97,3,15,Instagram,2026-03-25 14:23:29.608386,1
210,priya,You are so stupid,anger,negative,0.86,1,17,YouTube,2026-03-25 14:24:29.608386,1
211,john,Great work!,neutral,neutral,0.29,0,11,YouTube,2026-03-25 14:25:29.608386,0
212,anita,Keep going,neutral,positive,0.29,0,10,YouTube,2026-03-25 14:26:29.608386,0
213,anita,Great work!,joy,positive,0.03,0,11,YouTube,2026-03-25 14:27:29.608386,0
214,john,That's amazing,neutral,positive,0.14,0,14,YouTube,2026-03-25 14:28:29.608386,0
215,arjun,Great work!,joy,positive,0.06,0,11,YouTube,2026-03-25 14:29:29.608386,0
216,meena,You are a loser,anger,negative,0.99,3,15,Twitter,2026-03-25 14:30:29.608386,1
217,sara,Nobody likes you,anger,negative,0.78,1,16,Twitter,2026-03-25 14:31:29.608386,1
218,vikram,Good effort,joy,positive,0.17,0,11,Instagram,2026-03-25 14:32:29.608386,0
219,john,You are so stupid,anger,negative,0.9,1,17,YouTube,2026-03-25 14:33:29.608386,1
220,anita,Nobody likes you,anger,negative,0.86,1,16,Twitter,2026-03-25 14:34:29.608386,1
221,sara,Have a nice day,joy,positive,0.16,0,15,YouTube,2026-03-25 14:35:29.608386,0
222,meena,Shut up you fool,anger,negative,0.71,2,16,Instagram,2026-03-25 14:36:29.608386,1
223,arjun,Have a nice day,neutral,positive,0.09,0,15,YouTube,2026-03-25 14:37:29.608386,0
224,vikram,Great work!,joy,neutral,0.16,0,11,Twitter,2026-03-25 14:38:29.608386,0
225,sara,You are so stupid,anger,negative,0.95,3,17,Instagram,2026-03-25 14:39:29.608386,1
226,vikram,Good effort,joy,neutral,0.26,0,11,Instagram,2026-03-25 14:40:29.608386,0
227,arjun,That's amazing,neutral,neutral,0.05,0,14,Twitter,2026-03-25 14:41:29.608386,0
228,sara,Shut up you fool,anger,negative,0.95,1,16,YouTube,2026-03-25 14:42:29.608386,1
229,rahul,That's amazing,joy,neutral,0.27,0,14,YouTube,2026-03-25 14:43:29.608386,0
230,sara,Shut up you fool,anger,negative,0.75,3,16,Instagram,2026-03-25 14:44:29.608386,1
231,sara,You are so stupid,anger,negative,0.87,1,17,Twitter,2026-03-25 14:45:29.608386,1
232,arjun,That's amazing,neutral,positive,0.14,0,14,YouTube,2026-03-25 14:46:29.608386,0
233,sara,Well done,joy,neutral,0.26,0,9,YouTube,2026-03-25 14:47:29.608386,0
234,meena,Go away idiot,anger,negative,0.88,3,13,Twitter,2026-03-25 14:48:29.608386,1
235,rahul,You are useless,anger,negative,0.98,1,15,YouTube,2026-03-25 14:49:29.608386,1
236,rahul,You are useless,anger,negative,0.94,2,15,YouTube,2026-03-25 14:50:29.608386,1
237,sara,Well done,neutral,positive,0.13,0,9,Twitter,2026-03-25 14:51:29.608386,0
238,anita,Have a nice day,neutral,positive,0.02,0,15,Instagram,2026-03-25 14:52:29.608386,0
